id,nop,owner_id,guardian_id,rt,rw,village,road,determination,block_number,land_area,land_area_unit,building_area,building_area_unit
192,350515000901501050,192,7,002,9,SUMBERJO,JL. DESA BLOK 015,18911,015.0105,131,m2,60,m2
193,350515000902101240,193,7,002,8,SUMBERJO,DSN KEMBANGAN,31500,021.0124,700,m2,0,m2
194,350515000902300260,194,7,001,8,SUMBERJO,DSN KEMBANGAN,41760,023.0026,928,m2,0,m2
195,350515000902301040,195,7,001,8,SUMBERJO,DSN KEMBENGAN,178695,023.0104,3971,m2,0,m2
196,350515000902000260,196,7,003,8,SUMBERJO,JL. DESA BLOK 020,28407,020.0026,443,m2,0,m2
197,350515000902000270,197,7,003,8,SUMBERJO,BLOK 020,39437,020.0027,615,m2,0,m2
198,350515000901500980,198,7,002,9,SUMBERJO,JL. DESA BLOK 015,21461,015.0098,251,m2,0,m2
199,350515000901500990,199,7,002,9,SUMBERJO,BLOK 015,128130,015.0099,1709,m2,77,m2
200,350515000902101230,200,7,002,8,SUMBERJO,DSN KEMBANGAN,17160,021.0123,286,m2,0,m2
201,350515000901501030,201,7,003,9,SUMBERJO,BLOK 015,21176,015.0103,239,m2,30,m2
202,350515000901501220,202,7,002,9,SUMBERJO,BLOK 015,20349,015.0122,238,m2,0,m2
203,350515000901500830,203,7,002,9,SUMBERJO,SUMBERJO,71295,015.0083,869,m2,66,m2
204,350515000901501020,204,7,003,9,SUMBERJO,BLOK 015,20855,015.0102,234,m2,30,m2
205,350515000901501080,205,7,002,9,SUMBERJO,BLOK 015,65716,015.0108,782,m2,66,m2
206,350515000901501340,206,7,002,9,SUMBERJO,DSN KEMBANGAN,14877,015.0134,174,m2,0,m2
207,350515000901501000,207,7,002,9,SUMBERJO,BLOK 015,18019,015.0100,281,m2,0,m2
208,350515000901501010,208,7,003,9,SUMBERJO,BLOK 015,20471,015.0101,228,m2,30,m2
209,350515000901500950,209,7,002,9,SUMBERJO,BLOK 015,119091,015.0095,1767,m2,60,m2
210,350515000901501390,210,7,0,0,SUMBERJO,BLOK 015,18660,015.0139,291,m2,0,m2
211,350515000901500940,211,7,002,9,SUMBERJO,BLOK 015,39232,015.0094,369,m2,66,m2
212,350515000901501550,212,7,000,0,SUMBERJO,BLOK 015,18340,015.0155,286,m2,0,m2
213,350515000901501560,213,7,000,0,SUMBERJO,BLOK 015,20777,015.0156,243,m2,0,m2
214,350515000901501580,214,7,000,0,SUMBERJO,BLOK 015,19494,015.0158,228,m2,0,m2
215,350515000901500810,215,7,002,9,SUMBERJO,BLOK 015,26948,015.0081,222,m2,95,m2
216,350515000901501330,216,7,002,9,SUMBERJO,DSN KEMBANGAN,14877,015.0133,174,m2,0,m2
217,350515000900900410,217,7,002,3,SUMBERJO,JL. DESA BERASPAL,154475,009.0041,978,m2,0,m2
218,350515000900900420,218,7,002,3,SUMBERJO,DSN. SUMBERJO,16800,009.0042,280,m2,0,m2
219,350515000901500820,219,7,002,9,SUMBERJO,BLOK 015,13253,015.0082,155,m2,0,m2
220,350515000901500840,220,7,002,9,SUMBERJO,BLOK 015,21849,015.0084,253,m2,25,m2
221,350515000901501140,221,7,003,9,SUMBERJO,JL. DESA BLOK 015,22187,015.0114,346,m2,0,m2
222,350515000901500850,222,7,002,9,SUMBERJO,BLOK 015,40947,015.0085,611,m2,30,m2
223,350515000901500870,223,7,002,9,SUMBERJO,JL. DESA BLOK 015,89314,015.0087,1150,m2,66,m2
224,350515000902300570,224,7,000,0,SUMBERJO,BLOK 023,103500,023.0057,2300,m2,0,m2
225,350515000901500920,225,7,002,9,SUMBERJO,BLOK 015,29576,015.0092,370,m2,30,m2
226,350515000901502040,226,7,2,9,SUMBERJO,BLOK 015,12227,015.0204,143,m2,0,m2
227,350515000901502050,227,7,2,9,SUMBERJO,BLOK 015,17718,015.0205,116,m2,30,m2
228,350515000901501770,228,7,000,0,SUMBERJO,BLOK 015,27446,015.0177,428,m2,0,m2
229,350515000901500880,229,7,002,9,SUMBERJO,JL. DESA BLOK 015,124146,015.0088,1936,m2,0,m2
230,350515000901500890,230,7,003,9,SUMBERJO,JL. DESA BLOK 015,45307,015.0089,679,m2,30,m2
231,350515000901501620,231,7,000,0,SUMBERJO,BLOK 015,27446,015.0162,428,m2,0,m2
232,350515000901600790,232,7,003,9,SUMBERJO,BLOK 016,43092,016.0079,672,m2,0,m2
233,350515000901600960,233,7,003,9,SUMBERJO,BLOK 016,64581,016.0096,990,m2,25,m2
234,350515000901400860,234,7,002,9,SUMBERJO,BLOK 014,68805,014.0086,1529,m2,0,m2
235,350515000901501610,235,7,000,0,SUMBERJO,BLOK 015,18297,015.0161,214,m2,0,m2
236,350515000901501860,236,7,000,0,SUMBERJO,DSN KEMBANGAN,18340,015.0186,286,m2,0,m2
237,350515000901502080,237,7,2,9,SUMBERJO,DSN KEMBANGAN,40606,015.0208,542,m2,30,m2
238,350515000901502060,238,7,2,9,SUMBERJO,DSN KEMBANGAN,10004,015.0206,117,m2,0,m2
239,350515000901500910,239,7,002,9,SUMBERJO,DSN. KEMBANGAN,38081,015.0091,436,m2,30,m2
240,350515000901501740,240,7,002,9,SUMBERJO,DSN. KEMBANGAN,24210,015.0174,160,m2,60,m2
